Unnamed: 0,index,content,type,label,kn_id
10,50213,已知：如图，已知AB//DC//EF//HG，BC//DE//GF//HI， 求证：∠ B=∠ H． 解析： ∵AB//DC（已知）， ∴∠ B+∠ C=180° （两直线平行，同旁内角互补）， ∵BC//ED（已知）， ∴∠ C+∠ D=180° （两直线平行，同旁内角互补）， ∴∠ B=∠ D（等角的补角相等）， ∵DC//EF（已知）， ∴∠ D+∠ E=180° （两直线平行，同旁内角互补）， ∵DE//HI（已知）， ∴ ∠ E+∠ F=180° （两直线平行，同旁内角互补）， ∴∠ D=∠ F （等角的补角相等） ∴∠ B=∠ F（等量代换）． 同理可证得∠ F=∠ H， 故∠ B=∠ H（等量代换）．;zk;延长HG或HI，利用两次同旁内角互补可证；;zk;联结HB，利用两次内错角可证．,普通题,平行线的性质,1
11,35394,如图：已知AB=CD，使△ ABO≌△ CDO，还需添加一个条件，你添加的条件是 ．（只需一个，不添加辅助线） 解析： ∵ AB=CD，且∠ AOB=∠ COD， ∴ 当∠ B=∠ D或∠ A=∠ C时，满足AAS，可证明△ ABO≌△ CDO． 故答案为：∠ A=∠ C( ∠ B=∠ D )．,普通题,AAS,58
12,9727,求a_1+a_2+a_3+a_4+...+a_100的值． 解析： 原式=1/3×(1-1/4+1/4-1/7*s+1/298-1/301)=100/301．,普通题,算式找规律,18
13,17094,如图，∠ AOB=∠ COD=90° ，若∠ BOD=150°，则∠ BOC的度数为（ ）． 解析： ∵∠ AOB=∠ COD=90° ， ∴∠ AOD+∠ BOC=360° -∠ AOB-∠ COD=180° ， ∵∠ BOD=∠ AOB+∠ AOD=150° ， ∴∠ AOD=∠ BOD-∠ AOB=60° ， ∴∠ BOC=180° -∠ AOD=120° ， 故选C．,普通题,角的和差的计算与证明-不需要分类讨论,54
14,50139,3x+1=4． 解析： 3x+1=4 3x+1-1=4-1 3x=3 3x/ 3=3/ 3 x=1．,普通题,常规一元一次方程解法,25
15,6940,2x( x-1 )+( x-1 )( x+2 )． 解析： 2x( x-1 )+( x-1 )( x+2 ) =2 * x^2-2x+{x^2}+x-2 =3 * x^2-x-2．,普通题,多项式乘多项式,17
16,26990,求扇形图中表示家长“赞成”的圆心角的度数． 解析： 40/400× 360° =36° ， 答：扇形图中表示家长“赞成”的圆心角的为36° ．,普通题,统计综合,48
17,1913,在（2）中的旋转过程中，线段OA扫过的图形的面积 ． 解析： 由勾股定理，得 OA=√(13)， ∴线段OA扫过的图形的面积为：90× π × 13/360=13π /4． 故答案为：13π /4．,普通题,扇形的面积公式,130
18,58436,"请你用画树状图或列表的方法，写出点M所有可能的坐标． 解析： 画树状图得， 则点M所有可能的坐标为：(0,-1)，(0,-2)，(0,1)，(1,-1)，(1,-2)，(1,1)，(2,-1)，(2,-2)，(2,1)． 求点M(x,y)落在函数 y=- 1/x 的图象上的概率． 解析： ∵M(x,y)在函数y=- 1/x的图象上的有(1,-1)， ∴点M(x,y)落在函数y=- 1/x的图象上的概率为： 1/9．",复合题,树形图,33
19,8672,"平移△ ABC，使点C与坐标原点O是对应点，请画出平移后的三角形，并指出A、B两点的对应点{A_1}、{B_1}的坐标． 解析： {A_1}( 1,-3 )，{B_1}( 3,1 )； 如图所示：",普通题,坐标系中的平移-图形的平移,28
20,37452,如图，A、B、C、D是直线l上顺次四点，M、N分别是AB、CD的中点，且MN=6cm，BC=1cm，求AD的长． 解析： 如图所示，AD=AB+BC+CD，MN=MB+BC+NC， ∵M、N分别是AB、CD的中点， ∴AB=2MB，CD=2NC， ∴AB+CD=2MB+2NC=2(MB+NC)=2(MN-BC)， ∴AD=AB+CD+BC=2(MN-BC)+BC，即AD=2MN-BC， 又∵MN=6cm，BC=1cm， ∴AD=2MN-BC=2× 6-1=11\operatornamecm，∴ AD=11cm．,普通题,线段和差-不需要分类讨论,148
21,28394,将一张长方形纸片按如图所示折叠，如果∠ 1=58° ，则∠ 2= °． 解析： ∵折叠 ∴∠ CNF=2∠ 1=2× 58° =116°  ∵长方形纸片 ∴CD//AB， ∴∠ 2+∠ CNF=180°  又∵∠ CNF=116°  ∴∠ 2=64°,普通题,平行线的性质,1
22,3542,列方程解应用题 北京世界园艺博览会给人们提供了看山、看水、看风景的机会．一天小安和朋友几家去世园会游玩，他们购买普通票比购买优惠票的数量少3张，买票共花费了1640元，符合他们购票的条件如下表，请问他们买了多少张优惠票？ 平日 普通票 \bullet 适用所有人 \bullet 除指定日外任一平日参观 120 优惠票 \bullet 适用残疾人士、60周岁以上老年人、学生、中国现役军人（具体人群规则同指定日优惠票） \bullet 购票及入园时需出示相关有效证件 \bullet 除指定日外任一平日参观 80 解析： 设小安和皮鞥有几家购买了x张优惠票，根据题意列方程得： 80x+120(x-3)=1640， 去括号得，80x+120x-360=1640， 整理移项得，200x=2000， 解得，x=10， 答：他们买了10张优惠票．,普通题,一元一次方程的其他实际问题,150
23,15682,某商品先降价1/5 ，又涨价1/5，这件商品现在的价格是100元，这件商品的原价为 ． 解析： 100/ (1+1/5 )/ (1-1/5 ) =100/ 6/5/ 4/5 =100× 5/6× 5/4 =100× 25/24 =100× (1+1/24 ) =100× 1+100× 1/24 =1041/6（元）．,普通题,有理数乘除法与实际问题,80
24,25213,在(※)中，未经约分且分母为2的数记为c，它后面的一个数记为d，是否存在这样的两个数c和d，使cd=2001000，如果存在，求出c和d；如果不存在，请说明理由． 解析： 存在满足条件的c和d，c=2000/2，d=2001/1． 提示：依题意，c为每组倒数第2个数，d为每组最后一个数，设它们在第n组，则c=n-1/2 ，d=n/1． ∴ n( n-1 )/2=2001000，即n( n-1 )=4002000=2001× 2000， ∴ n=2001，得c=2001-1/2=2000/2，d=2001/1．,普通题,定义新运算,139
25,36390,计算：√(32)-√(3)(√(6)-√(3))= ． 解析： 原式=4√(2)-√(18)+3=4√(2)-3√(2)+3=√(2)+3．,普通题,二次根式的四则混合运算,64
26,9548,( -3 * a^2 )^3*{a^3}+{( -4a )^2}*{a^7}． 解析： 原式=(-27 * a^6)*{a^3}+(16 * a^2)*{a^7}=-27a^9+16 * a^9=-11 * a^9．,普通题,幂的综合运算,73
27,54916,计算：-40-28+|-19|+( -24 )-( -32 )． 解析： 原式=-40-28+19-24+32=-41．,普通题,有理数加减混合运算,102
28,15934,"如图1，点A为线段BC外一动点，且BC=a，AB=b，填空：当点A位于 时，线段AC的长取得最大值，且最大值为 (用含a,b的式子表示)． 解析： ∵ 点A为线段BC外一动点，且BC=a，AB=b， ∴ 当点A位于CB的延长线上时，线段AC的长取得最大值，且最大值为BC+AB=a+b， 故答案为：CB的延长线上，a+b；",普通题,线段和差-不需要分类讨论,148
29,54512,条件表达式：x-3/2+3>x+1 \\ 1-3(x-1)<= 8-x \\． 解析： 条件表达式：x-3/2+3>x+1 ①\\ 1-3(x-1)<= 8-x ②\\， 由①得：x < 1， 由②得：x>= -2， ∴不等式组的解集是-2<= x < 1．,普通题,解一元一次不等式组,42
30,52965,5x+1/3-1=2x-1/6． 解析： 2( 5x+1 )-6=2x-1， 10x+2-6=2x-1， 8x=3， x=3/8．,普通题,常规一元一次方程解法,25
31,1229,数轴上表示x和-1的两点A，B之间的距离是 ，如果AB=2，那么x为 ． 解析： 由题意得：x和-1之间的距离是：|x-( -1 )|=|x+1|， ∵|x+1|=2， ∴解得：x=-3或x=1．,普通题,数轴上两点间距离,129
32,17006,求证：AB=BC=CD=AD． 解析： ∵AO=CO，AC⊥ BD， ∴AD=CD，AB=BC， 同理可得AD=AB，CD=BC， ∴AB=BC=CD=AD．,普通题,菱形的性质,122
33,34354,第二个月的销售单价定为多少元时，可获得最大利润．最大利润是多少． 解析： 设第二个月的利润为w元， 由已知得w=( x-20 )y =( x-20 )( -20x+1000 ) =-20 * x^2+1400x-20000 =-20{( x-35 )^2}+4500． ∵-20 < 0， ∴当x=35时，w取最大值，最大值为4500． 故第二个月的销售单价定为35元时，可获得最大利润，最大利润是4500．,普通题,二次函数的利润问题,24
34,31132,"若点P( m,n )是△ ABC内部一点，则平移后△ {A′}}{B′}}{C′}}内的对应点{P′}}的坐标为 ． 解析： 解：A( 1,0 )平移到点{A′}}的坐标是( -3,-4 )， 横坐标减4，纵坐标减4， ∴ 点P的对应点{P′}}的坐标是( m-4,n-4 )． 故答案为( m-4,n-4 )．",普通题,坐标系中的平移-点的平移,21
35,52411,甲、乙两人在直线跑道上同起点、同终点、同方向匀速跑步500米，先到终点的人原地休息．已知甲先出发2秒．在跑步过程中，甲、乙两人的距离y（米）与乙出发的时间t（秒）之间的关系如图所示，求a= ，b= ，c= ． 解析： 由图象，得 甲的速度为：8/ 2=4米/秒， 乙的速度为：500/ 100=5米/秒， 乙走完全程时甲乙相距的路程为：b=500-4(100+2)=92米， 乙追上甲的时间为：a=8/ ( 5-4 )=8秒， 乙出发后甲走完全程所用的时间为：c=500/ 4-2=123秒． 故答案为：8，92，123．,普通题,函数图象与实际问题,67
36,3191,"在平面直角坐标系中，点(1,-3)关于x轴对称的点的坐标为（ ）． 解析： ∵点(1,-3)关于x轴的对称点， ∴横坐标不变，纵坐标变为相反数， ∴坐标为(1,3)． 故选B．",普通题,坐标系中的对称-点关于坐标轴对称,85
37,36094,我国古代数学著作《九章算术》中记载：“今有大器五小器一容九斛．大器一小器五容三解．问大小器各容几何．”其大意为：有大小两种盛酒的桶，已知5个大桶加上1个小桶可以盛酒9斛（斛，音 hu，是古代的一种容量单位）．1个大桶加上5个小桶可以盛酒3斛，问1个大桶和1个小桶分别可以盛 斛酒． 解析： 设1个大桶和1个小桶分别可以盛x，y斛酒， 由题意得条件表达式：5x+y=9 \\ x+5y=3 \\ ， 解得条件表达式：x=7/4 \\ y=1/4 \\ ．,普通题,二元一次方程组的和差倍分,119
38,50820,如图，等边三角形ABC的边长为2，AD为BC边上的高，作DE⊥ AB于点E，则AE的长是 ． 解析： ∵△ ABC是等边三角形，边长为2， ∴∠ B=60° ，BD=1， ∵DE⊥ AB， ∴∠ BED=90° ． 在Rt△ BDE中，∠ BDE=90° -60° =30° ， ∴BE=1/2BD=1/2， ∴AE=AB-BE=3/2．,普通题,等边三角形的性质,76
39,49878,"求点A和点C的坐标． 解析： y=5x-5，令y=0，则x=1， ∴A(1,0)． 令x=0，则y=-5， ∴B(0,-5)， 又∵点B与点C关于原点对称， ∴C(0,5)．",普通题,一次函数与一元一次方程,65
40,43178,解方程：12x^3+24x^2+7x+2/4x^2+8x+1= 18x^3+42x^2+24x+5/6x^2+14x+6． 解析： 分离得:3x(4x^2+8x+1)+4x+2/4x^2+8x+1= 3x(6x^2+14x+6)+6x+5/6x^2+14x+6 3x+ 4x+2/4x^2+8x+1=3x+ 6x+5/6x^2+14x+6， 4x+2/4x^2+8x+1= 6x+5/6x^2+14x+6． 倒数得:4x^2+8x+1/4x+2= 6x^2+14x+6/6x+5． 分离得：x+1+ 2x-1/4x+2=x+1+ 3x+1/6x+5； 2x-1/4x+2=3x+1/6x+5． 倒数得：4x+2/2x-1= 6x+5/3x+1． 分离得：2+ 4/2x-1=2+ 3/3x+1； 4/2x-1= 3/3x+1； 12x+4=6x-3；6x=-7；x=- 7/6． 经检验，x=- 7/6均为原方程的根．,普通题,解可化为一元一次方程的分式方程,127
41,25083,通过计算来说明她的这种坐姿是否符合保护视力要求． 解析： 在直角三角形BDC中：∠ ACB=53° ， ∵\cos 53° =DC/BC\approx 0.6， 解得：DC=18， ∴AC=24-18=6（cm）， ∴AB=√(A * D^2+B * D^2)=√({6)^{2}+{24^2}}=√(612) < √(900)， ∴他的这种坐姿不符合保护视力的要求．,普通题,解直角三角形的综合应用,37
42,21153,如图2，若AE=CF=0.5，AM=CN=x( 0 < x < 2 )，且四边形EMFN为矩形，求x的值． 解析： 可在直角梯形AMNB中求解， 过M作MT⊥ BN于T，则BT=AM=x， ∴TN=4-2x，MT=AB=3， ∵四边形MENF为矩形， ∴MN=EF=AC-2AE=5-1=4， ∴在Rt△ MTN中，M * T^2+T * N^2=M * N^2， ∴{3^2}+{( 4-2x )^2}={4^2}， 解得：x=4± √(7)/2， 又∵0 < x < 2， ∴x=4-√(7)/2．,普通题,矩形的性质,29
43,23939,在函数y=√(x+3)/x中，自变量x的取值范围是 ． 解析： 由二次根式中被开方数的非负性以及分式中分母不为0可知， 在函数y=√(x+3)/x， 自变量x的取值范围是x+3>= 0且x≠ 0， 即x>= -3且x≠ 0， 故答案为：x>= -3且x≠ 0．,普通题,函数自变量的取值范围,98
44,32596,从成都经川南到贵阳的成贵客运专线正在建设中，这项工程总投资约780亿元，预计2019年12月建成通车，届时成都到贵阳只要3小时，这段铁路被称为“世界第一条山区高速铁路”将数据780亿用科学记数法表示为（ ）． 解析： 780亿为78000000000，表示为科学记数法为7.8× {10^10}．,普通题,科学记数法：表示较大的数,56
45,26359,因式分解：3 * x^3-6 * x^2y+3x * y^2= ． 解析： 原式=3x( x^2-2xy+y^2)=3x( x-y)^2．,普通题,提公因式+完全平方,112
46,46905,求证：AB=AC． 解析： ∵AD平分∠ EDC， ∴∠ ADE=∠ ADC， 在△ AED和△ ACD中， 条件表达式：AD=AD \\ ∠ ADE=∠ ADC \\ DE=DC \\， ∴△ AED\stackrel\Large\lower.2em\backsim\lower.1em=△ ACD( SAS )， ∴∠ AED=∠ C， ∵∠ EAB=∠ BDE， 根据8字型得∠ AED=∠ B， ∴∠ C=∠ B， ∴AB=AC．,普通题,SAS,34
47,51643,解方程：{x^2}-2x-3=0． 解析： {x^2}-2x-3=0， (x-3)(x+1)=0， ∴{x_1}=3，{x_2}=-1．,普通题,因式分解法求一元二次方程的根,72
48,44967,\cos 45° 的值为（ ）． 解析： 45° 的余弦值是邻边/斜边的，为√(2)/2．,普通题,含锐角三角函数的实数运算,62
49,26993,二次函数y=a * x^2+bx+c（a≠ 0）的图象如图所示，则一次函数y=bx+{b^2}-4ac与反比例函数y=a+b+c/x在同一坐标系内的图象大致为（ ）． 解析： （1）抛物线y=a * x^2+bx+c开口向上，所以a>0； 对称轴在y轴右侧，即-b/2a>0，则b<}0； 又因为抛物线y=a * x^2+bx+c与x轴有两交点，所以{{b^2}-4ac>0，因此直线y=bx+{b^2}-4ac应经过第一、二、四象限． （2）当x=1时，抛物线y=a * x^2+bx+c在x轴下方，即当x=1时y<}0，故a+b+c<{0，所以双曲线y=a+b+c/x应分布在第二、四象限．对照四个选项，只有D满足． 故选D．,普通题,一次函数的图象特征与性质,75
50,48950,条件表达式：x-2y=-1 \\ 3x+2y=13 \\ ． 解析： 条件表达式：x-2y=-1① \\ 3x+2y=13② \\  ①+②得到，4x=12，x=3， 把x=3代入①得到，y=2， ∴条件表达式：x=3 \\ y=2 \\ ．,普通题,加减消元法解二元一次方程组,83
51,38443,数轴上是否存在点P，使点P到点A，点B的距离之和为8，若存在，请求出x的值；若不存在，说明理由． 解析： ①当点P在A左边时，-1-x+3-x=8， 解得：x=-3． ②点P在B点右边时，x-3+x-(-1)=8， 解得：x=5． 即存在x的值，当x=-3或5时，满足点P到点A，点B的距离之和为8．,普通题,数轴上两点间距离,129
52,32012,G为BC中点时，求BC的长． 解析： ∵CE⊥ AB， ∴∠ CEB=90° ， 在Rt△ CEB中，G为BC中点， ∴EG=BG=1/2BC， ∴∠ GEB=∠ GBE， ∵EF⊥ AB， ∴∠ EFB=90° ， ∴∠ GEB+∠ EBF=90° ， ∴∠ GBE+∠ EBF=90° ， 由（2）知∠ CAE=∠ EBF， ∴∠ GBE+∠ CAE=90° ， ∴∠ ACB=180° -( ∠ GBE+∠ CAE )=90° ， ∴BC⊥ OA， ∴{S_△ OAB}=1/2OB* AH=1/2OA* BC， ∵OA=OB， ∴BC=AH=4．,普通题,直角三角形斜边中线性质以及应用,123
53,47784,一件工艺品进价为100元，标价135元售出，每天可售出100件，根据销售统计，一件工艺品每降价1元出售，则每天可多售出4件，要使每天获得的利润最大，每件需降价的钱数为 元． 解析： 设每件需降价的钱数为x元，每天获利y元， 则y=( 135-x-100 )( 100+4x )， 即：y=-4{( x-5 )^2}+3600， ∵-4<{}0， ∴当x=5元时，每天获得的利润最大． 故答案为：5．,普通题,二次函数的利润问题,24
54,27610,甲、乙二人欲买一件商品，按照标价，甲带的钱差40元，乙带的钱少1/4．经过讨价最后可以按9折购买，于是他们合买了一件，结果剩下28元．这件商品标价为 元． 解析： 设这件商品的原价为x元，则甲带了( x-40 )元，乙带了3/4x元，由题意： x-40+3/4x=0.9x+28，解得：x=80． 所以这件商品的原价为80元．,普通题,一元一次方程的经济问题-打折,92
55,34050,"求k和a、b的值． 解析： 把A( 1 ,0)代入一次函数解析式得：k+1=0，解得：k=-1， 根据题意得：条件表达式：-b/2a=-3/2 \\ a+b-2=0 \\， 解得：条件表达式：a=1/2 \\ b=3/2 \\．",普通题,一次函数与二次函数的交点,81
56,2255,命题1 ． 解析： 选择C，文字语言表述为：一组对边平行，一条对角线平分另一条对角线的四边形是平行四边形．,普通题,ASA,82
57,22134,化简求值： {(x-2y)^2}-(x+y)(3x-y)-5 * y^2 / 2x，其中x=-2，y=1/2． 解析： [{(x-2y)^2}-(x+y)(x+3y)-5 * y^2]/ 2y =[{x^2}-4xy+4 * y^2-{x^2}-3xy-xy-3 * y^2-5 * y^2]/ 2y =[-8xy-4 * y^2]/ 2y =-4x-2y， 当x=-2，y=1/2时，原式=8-1=7．,普通题,整式乘除化简求值-直接代入化简求值,71
58,25736,小刚家到学校的路程是 米；小刚在书店停留了 分钟． 解析： 根据图象，学校的纵坐标为1500，小刚家的纵坐标为0， 故小刚家到学校的路程是1500米， 根据题意，小刚在书店停留的时间为从（8分）到（12分）， 故小刚在书店停留了4分钟， 故答案为：1500，4．,普通题,函数图象与实际问题,67
59,53674,已知△ ABC≌△ DEF，若BC=9，则可知△ DEF的边（ ）的长也是9． 解析： ∵△ ABC≌△ DEF， ∴EF=BC=9． 故选B．,普通题,全等三角形的对应边与角,13
60,18942,"求出该一次函数的表达式． 解析： 设一次函数的解析式为y=kx+b( k≠ 0)， ∵一次函数的图象经过点A(2,4)和B(-1,-5)两点， ∴条件表达式：2k+b=4 \\ -k+b=-5 \\ ， 解得：条件表达式：k=3 \\ b=-2 \\ ， ∴一次函数的表达式为y=3x-2．",普通题,已知两点求一次函数解析式,107
61,21662,如图，菱形ABCD的对角线AC，BD交于点O，点E为边AD的中点，若AC=8cm，BD=6cm，则线段OE的长度是 cm． 解析： ∵四边形ABCD是菱形， ∴OA=OC，OB=OD，OD⊥ OC， 又∵AC=8cm，BD=6cm， ∴OA=OC=4cm，OB=OD=3cm， 在Rt△ DOC中， CD=√(O * D^2+O * C^2)=√({3)^{2}+{4^2}}=5cm ∵点E是AD中点， ∴OE是△ ACD中位线， ∴OE=1/2CD=5/2cm．,普通题,菱形的性质,122
62,16246,"已知点A(a-1,2a-3)在一次函数y=x+1的图象上，则a的值为 ． 解析： ∵点A(a-1,2a-3)在一次函数y=x+1的图象上， ∴2a-3=a-1+1， 解得a=3．",普通题,一次函数与一元一次方程,65
63,29190,将上联中的11个汉字都换成不超过200的彼此不等的奇数，使等式成立．请回答：其中最小的奇数可以取到的最小值是多少？ 解析： 不超过200的11个彼此不等的奇数由大向小排列，和为定值2007．前十个奇数之和越大，最小的那个奇数就越小．前十个奇数之和的最大值为： 199+197+195+193+191+189+187+185+183+181 =1900． 所以，最小奇数的最小值为 2007-1900=107．,普通题,有理数加减混合运算,102
64,16855,若长方形的周长为20，其中一边长为x（x>0），面积为y，则y与x之间的关系式为 ． 解析： ∵长方形的周长为20，若其中一条边长为x（其中x>0），则矩形的另一条边长为10-x， ∴面积y与边长x之间的函数关系式为y=x(10-x)． ∵x与10-x分别表示矩形的长和宽， 条件表达式： x>0 \\ 10-x>0 \\ ， 解得0<x<10． 故自变量x的取值范围是0<x<10．,普通题,矩形的周长与面积,86
65,17471,2x-3=x+5． 解析： 移项，得2x-x=5+3， 合并同类项，得x=8．,普通题,常规一元一次方程解法,25
66,29752,按此规律，请写出第n个等式： 解析： 按此规律，第n个等式为：n+n/{n^{3^(1/3)-1}}=nn/{n^{3^(1/3)-1}}．,普通题,算式找规律,18
67,48399,"求这两个函数的表达式． 解析： ∵反比例函数y={k_2}/x的图象过点A( -1,4 )，B( 4,n )， ∴{k_2}=-1× 4=-4，{k_2}=4n， ∴n=-1， ∴B( 4,-1 )， ∵一次函数y=kx+b的图象过点A，点B， ∴条件表达式：-k+b=4 \\ 4k+b=-1 \\ ，解得：k=-1，b=3， ∴直线解析式为y=-x+3，反比例函数的解析式为y=-4/x．",普通题,反比例函数与一次函数综合,133
68,3910,已知关于x的一元二次方程x^2-(n+3)x+3n=0．求证：此方程总有两个实数根． 解析： \Delta ={( n+3 )^2}-4× 3n ={n^2}+6n+9-12n ={n^2}-6n+9 ={( n-3 )^2} >= 0， ∴此方程总有两个实数根．,普通题,一元二次方程根的判别式,153
69,964,解方程：3/x-1-x+2/x( x-1 )=0． 解析： 3/x-1-x+2/x( x-1 )=0，3x-( x+2 )=0，∴ x=1，经检验，x=1是原分式方程的增根，舍去． ∴ 原分式方程无解．,普通题,解可化为一元一次方程的分式方程,127
70,5944,请证明∠ ABC=90° ． 解析： 如图连接PB． ∵ PA=PB=AB， ∴ △ PAB是等边三角形， ∴ ∠ APB=∠ A=60° ， ∵ PC=PB， ∴ ∠ C=∠ PBC， ∵ ∠ APB=∠ C+∠ PBC， ∴ ∠ C=30° ， ∴ ∠ A+∠ C=90° ， ∴ ∠ ABC=90° ．,普通题,角的和差的计算与证明-不需要分类讨论,54
71,36019,若某星期六的盈亏数m为300，则本周合计盈亏数n= ． 解析： -27-70+200+138-3+m+120=n， ∵m=300， ∴n=658， ∴本周合计盈亏数n=658．,普通题,有理数加减法与实际问题,57
72,58290,在第n个图中，每一横行共有__________块瓷砖，每一竖列共有__________块瓷砖． 解析： 每个图形都比上一个的长和宽大一所以第n个图形横向有n+3块瓷砖 每一列有n+2块瓷砖． 若黑瓷砖每块4元，白瓷砖每块3元，在问题②中，共花多少钱购买瓷砖？ 解析： 白色地砖数目20× 21=420块黑色地砖数目为86块． 总费用为：420× 3+86× 4=1604． 按以上铺设方案，铺一块这样的矩形地面共用了506块瓷砖，求此时n的值．(提示：利用分解质因数的方法求解) 解析： 此图形地砖数量为横数成立列数即：(n+2)(n+3)=506而且506=2× 11× 23所以n=20．,复合题,数列找规律-图形类的等差数列,135
73,41129,计算：-{1^2}+tan 60° -{(π -3)^0}-|1-√(3)|． 解析： 原式=-1+√(3)-1-√(3)+1 =-1． 故答案为：-1．,普通题,含锐角三角函数的实数运算,62
74,21142,{0.1^2}= 解析： {0.1^2}=0.1× 0.1=0.01．,普通题,有理数乘方运算,6
75,13422,"如图3，若点P与点A重合时，求OD的长并写出解答过程． 解析： ∵P与A重合，FC//x轴， ∴P(1,0)，-2/k=1，点F与P、A重合， ∴k=-2，C(-1,0) ， ∴直线l：y=-2x+2， ∵点E在直线l上，且在⊙O上， ∴设E(e,-2e+2)，则有{e^2}+{(-2e+2)^2}=1， 解得：{e_1}=1（即为点A，舍去），{e_2}=3/5， ∴-2e+2=-2× 3/5+2=4/5， ∴点E坐标为( 3/5,4/5 )， 设直线CE解析式为：y=ax+b， ∴ \left\ \begin{array*{35l} -a+b=0 \\3/5a+b=4/5 \\\endarray \right.， 解得：\left\ \begin{array*{35l} a=1/2 \\ b=1/2 \\\endarray \right. ， ∴直线CE与y轴交点D( 0,1/2 )， ∴OD=1/2．",普通题,根据条件写一次函数解析式,79
76,8169,已知一次函数y=-3x+3．当x 时，y>= 0；当x 时，y<}0． 解析： 若y>= 0，则-3x+3>= 0，解得：x<= 1， 若y<{0，则-3x+3<{}0，解得：x>1． 故答案为：<= 1；>1．,普通题,一次函数与一元一次不等式,59
